yvals,period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,null,null,null,null,null,null,null,null,null,null,null,null,null
VAT diffussion index (seasonally adjusted) &darr;,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Jan | All,quarter,-0.01,null,null,-0.04,null,null,-0.04,null,null,-0.05,null,null,-0.03,null,null,-0.06,null,null,-0.02,null,null,0,null,null,0,null,null,0.05,null,null,0,null,null,-0.01,null,null,0,null,null,0.01,null,null,0.03,null,null,-0.01,null,null,-0.01,null,null,-0.01,null,null,-0.03,null,null,0.01,null,null,-0.02,null,null,0.04,null,null,0.01,null,null,0.01,null,null,0.02,null,null,0,null,null,0,null,null,0.01,null,null,0,null,null,-0.01,null,null,0.01,null,null,-0.02,null,null,-0.02,null,null,-0.01,null,null,-0.02,null,null,0.01,null,null,0.01,null,null,-0.01,null,null,-0.01,null,null,0,null,null,0,null,null,0,null,null,0.03,null,null
Feb | Retail,quarter,0.06,null,null,0.03,null,null,0.01,null,null,-0.04,null,null,-0.12,null,null,-0.13,null,null,-0.13,null,null,-0.09,null,null,-0.08,null,null,0.01,null,null,0.04,null,null,0.04,null,null,0.04,null,null,0.02,null,null,0.03,null,null,0.04,null,null,0.07,null,null,0.04,null,null,-0.03,null,null,0,null,null,-0.06,null,null,0.01,null,null,0.05,null,null,0.05,null,null,0.09,null,null,0.05,null,null,0.04,null,null,0.04,null,null,0.02,null,null,-0.01,null,null,0,null,null,-0.01,null,null,0,null,null,0.02,null,null,-0.01,null,null,0.02,null,null,0.01,null,null,0.02,null,null,0.04,null,null,0.03,null,null,0.01,null,null,0.01,null,null,0.04,null,null
Mar | Construction,quarter,485,338.86,323.14,294.1,340.33,380.24,360.19,396.05,328.29,335.71,287.81,360.95,272.81,313.9606667,310.0175152,306.0743636,302.1312121,298.1880606,294.2449091,290.3017576,286.3586061,282.4154545,278.472303,274.5291515,270.586,266.6428485,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Apr,month,0.16,0.09,0.05,0.18,0.1,0.12,0.18,0.07,0.18,0.11,-0.04,0.15,-0.02,-0.08,0.04,-0.05,-0.08,-0.01,-0.05,-0.08,-0.05,-0.08,-0.01,0.05,-0.11,-0.01,0.07,0.04,0.05,0.08,0.07,0.13,0.15,0.09,0.16,0.04,0.15,0.11,0.09,0.06,0.14,0.1,0.08,0.16,0.12,0.09,0.08,0.1,0.07,0.11,0.05,0.05,0.07,-0.06,0,-0.03,-0.12,0.06,-0.02,-0.12,0,-0.07,-0.06,0.05,0.04,0.07,0.11,0.05,0.09,0.05,0.07,0.15,0.11,0.09,0.07,0.08,0.01,0.06,0.04,0.01,0.06,0,-0.08,-0.02,-0.04,-0.04,-0.02,-0.07,-0.11,-0.02,-0.05,-0.11,-0.06,-0.08,-0.01,-0.19,-0.02,0.05,-0.02,0.04,0.01,-0.01,-0.08,0.07,0.02,-0.01,0.09,0.17,0.07,0.02,0.12,-0.01,0.14,0.13,0.11,0.15,0.12,0.14,0.11,0.07,0.11,0.08,0,0.09,0.07,0.02,0.09,0.06,-0.03
VAT diffussion index (non-seasonally adjusted),,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
May,month,0.33,0.06,0.12,0.37,-0.06,0.26,0.3,0.22,0.32,0.25,0.2,0.09,0.13,0.06,-0.19,-0.13,-0.02,-0.08,0.01,-0.17,-0.04,-0.14,0.13,-0.05,-0.1,0.02,-0.1,0.02,0.13,-0.02,0.02,0.06,0.1,0.05,0.09,0.02,0.28,0.15,0.07,0.1,0.1,0.23,0,0.19,0.21,0.12,0.14,0.12,0.12,0.1,0.01,0.07,-0.01,0.02,0,-0.1,-0.11,0.04,-0.15,-0.18,0.01,-0.02,-0.01,0.02,-0.01,0.04,0.12,0.1,0.03,0.08,0.13,0.18,0.11,0.1,0.17,0.13,0.11,0.09,0.11,0.09,0.01,-0.05,-0.1,-0.17,-0.06,-0.06,-0.11,-0.22,-0.27,-0.14,-0.22,-0.32,-0.15,-0.09,-0.08,-0.4,0.03,-0.04,-0.05,-0.01,-0.07,-0.08,-0.13,-0.04,-0.14,-0.1,-0.06,0.21,0.02,-0.02,-0.01,0.04,0.13,0.18,0.15,0.12,0.19,0.17,0.15,0.11,0.09,0.06,-0.08,0.11,0.03,0.03,0.05,-0.01,-0.03
Jun,month,-0.18,-0.21,-0.24,-0.26,-0.33,-0.31,-0.56,-0.34,-0.37,-0.38,-0.52,-0.12,-0.37,-0.46,-0.51,-0.28,-0.45,-0.1,-0.23,-0.23,-0.06,-0.1,0,-0.06,-0.22,-0.13,-0.27,-0.28,-0.1,0.06,-0.07,0.07,0.03,0.11,0.09,-0.07,-0.12,-0.16,-0.2,-0.16,-0.11,-0.06,-0.02,-0.13,0.1,-0.13,-0.25,-0.1,-0.18,-0.04,-0.11,0.06,0.06,-0.25,-0.16,-0.25,-0.53,-0.08,-0.18,-0.22,0.04,-0.06,-0.06,-0.16,-0.14,0.02,-0.13,0.07,0.01,0.1,0.02,0.2,0.04,0.07,-0.04,0.1,0.02,0.1,0.12,0.25,0.13,0.22,0.06,0.01,-0.07,-0.26,0.03,0.27,-0.08,0.01,0.12,-0.06,-0.06,-0.03,-0.1,0.07,-0.13,-0.11,-0.07,-0.01,-0.12,-0.06,0,0.08,-0.09,-0.28,-0.12,-0.02,0.02,0.16,-0.14,-0.13,-0.08,-0.02,-0.05,-0.12,-0.13,0.04,0.02,-0.03,-0.11,-0.07,-0.18,-0.09,-0.16,0.13,0.03,0.03,0.1
Jul,month,0.15,-0.05,-0.03,0.02,-0.11,0.04,-0.45,-0.19,0.18,-0.12,-0.23,-0.03,-0.03,-0.22,-0.02,-0.2,0.14,-0.15,-0.15,0.1,-0.06,-0.26,-0.35,0.1,-0.12,-0.16,0.04,-0.07,0.13,0.08,-0.04,-0.09,-0.04,0.01,0.03,-0.06,0.05,0.04,-0.07,-0.02,-0.07,0.16,0.17,-0.01,0.11,-0.13,-0.06,-0.12,-0.12,-0.04,0.02,-0.04,0.03,-0.06,0.04,-0.11,-0.13,0,-0.04,-0.04,-0.09,-0.1,-0.2,-0.1,0.01,-0.14,0.03,0.02,-0.13,-0.04,-0.11,0.15,0.01,-0.1,-0.24,-0.01,-0.11,-0.19,-0.14,-0.05,-0.15,-0.02,-0.09,0.02,0.03,0,-0.02,0.03,-0.07,0.04,-0.07,-0.1,-0.04,-0.14,0.07,-0.06,-0.08,-0.02,0.05,-0.11,-0.18,-0.09,-0.1,-0.11,-0.09,-0.04,0.06,0.04,0.04,-0.03,0.05,-0.15,0.06,-0.08,-0.12,0.08,-0.26,0.09,-0.04,-0.08,-0.07,0.03,-0.03,-0.01,-0.03,-0.05,-0.13,-0.04,0.07
Re-input tax due,month,6040,7420,6590,7270,5540,5970,5890,5780,7400,7300,7390,6500,6340,6210,6990,6080,7350,6830,11050,9420,6510,6260,6560,6350,6350,5970,6190,5950,5100,5050,4130,3590,4500,4180,3680,3990,5260,3790,3240,3260,3090,3590,3330,3520,3090,2530,3500,3120,2900,2480,2120,2110,2110,1610,1870,1570,1440,1610,1390,1410,1400,1500,1320,1450,1560,1420,1520,1500,1420,1430,1400,1410,1480,1630,1840,2680,1750,1810,1620,1360,1280,1520,1430,1040,1970,1380,1430,1360,1170,1260,1350,1530,1600,1150,1430,1490,1490,1350,1530,1440,1520,1500,1360,1390,1590,1220,1810,1660,1540,1540,1360,1490,1490,1820,1500,1670,1460,1340,1500,1420,1380,1540,1510,1470,1610,1500,1500,1560,1510
